Objects
100
,,Global Angle drone1:drone1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
245,0,-0.044691,-0.001648,1.516767,-607.538025,-1522.051392,65.075394
246,0,-0.043903,-0.001407,1.516582,-607.509827,-1522.029785,65.107895
247,0,-0.042675,-0.001170,1.516309,-607.486145,-1522.020630,65.125565
248,0,-0.044093,-0.001909,1.516191,-607.484863,-1522.022339,65.102455
249,0,-0.044363,-0.001642,1.516240,-607.446899,-1521.988159,65.138840
250,0,-0.045444,-0.005180,1.516497,-607.479004,-1522.010620,65.090958
251,0,-0.042981,-0.000903,1.516108,-607.494446,-1522.036499,65.123093
252,0,-0.043052,-0.001161,1.516548,-607.507751,-1522.027588,65.107361
253,0,-0.043956,-0.001571,1.516976,-607.523499,-1522.051270,65.113235
254,0,-0.043733,-0.001362,1.516667,-607.516602,-1522.054688,65.081329
255,0,-0.043935,-0.001673,1.516166,-607.495728,-1522.036255,65.106155
256,0,-0.043864,-0.001455,1.516565,-607.524963,-1522.053711,65.079285
257,0,-0.044546,-0.002448,1.516502,-607.488647,-1522.006470,65.122696
258,0,-0.042383,-0.000339,1.516545,-607.506042,-1522.021240,65.115807
259,0,-0.043102,-0.001442,1.516288,-607.526001,-1522.039795,65.089882
260,0,-0.042488,-0.000696,1.516469,-607.508667,-1522.014526,65.130821
261,0,-0.044584,-0.002017,1.516654,-607.510315,-1522.031738,65.101738
262,0,-0.043973,-0.001035,1.517034,-607.530029,-1522.043579,65.087112
263,0,-0.046603,-0.005718,1.516528,-607.504517,-1522.047729,65.057602
264,0,-0.043665,-0.001431,1.516911,-607.543091,-1522.061401,65.077446
265,0,-0.044641,-0.002102,1.516549,-607.505615,-1522.041382,65.089233
266,0,-0.044311,-0.002130,1.516975,-607.509460,-1522.037476,65.099007
267,0,-0.042998,-0.001138,1.516565,-607.489563,-1522.011230,65.124809
268,0,-0.042484,-0.001018,1.516169,-607.503357,-1522.016357,65.105927
269,0,-0.043586,-0.001201,1.516495,-607.487305,-1522.013550,65.117081
270,0,-0.043249,-0.001292,1.516273,-607.506348,-1522.027588,65.111656
271,0,-0.044194,-0.001362,1.516598,-607.497131,-1522.033936,65.099823
272,0,-0.043960,-0.001362,1.516994,-607.509277,-1522.026978,65.112061
273,0,-0.044537,-0.002088,1.516766,-607.503174,-1522.040039,65.093323
274,0,-0.044228,-0.001565,1.516254,-607.509888,-1522.047485,65.090111
275,0,-0.043314,-0.001284,1.516541,-607.507263,-1522.036621,65.110741
276,0,-0.047189,-0.006688,1.516767,-607.468933,-1522.010742,65.105598
277,0,-0.042246,-0.000716,1.516616,-607.525696,-1522.034912,65.107971
278,0,-0.042934,-0.000937,1.516449,-607.512817,-1522.028564,65.101372
279,0,-0.044445,-0.001980,1.516744,-607.507935,-1522.024414,65.109924
280,0,-0.043407,-0.001204,1.516683,-607.496887,-1522.019897,65.104416
281,0,-0.044255,-0.001364,1.516503,-607.514099,-1522.030396,65.083992
282,0,-0.043520,-0.001126,1.516669,-607.512268,-1522.032104,65.087784
283,0,-0.043580,-0.001354,1.516154,-607.489502,-1522.029785,65.093910
284,0,-0.042705,-0.000759,1.516401,-607.531250,-1522.043091,65.107269
285,0,-0.043598,-0.001316,1.516432,-607.532776,-1522.056641,65.089417
286,0,-0.044348,-0.002163,1.516450,-607.528992,-1522.047729,65.090401
287,0,-0.043043,-0.001214,1.516137,-607.505371,-1522.041138,65.098434
288,0,-0.043188,-0.000771,1.516860,-607.537354,-1522.064331,65.069199
289,0,-0.044797,-0.002060,1.516866,-607.529968,-1522.059692,65.069908
290,0,-0.043889,-0.001339,1.516435,-607.501099,-1522.030640,65.092232
291,0,-0.043819,-0.002171,1.516373,-607.487915,-1522.021729,65.109848
292,0,-0.042693,-0.000564,1.516634,-607.537781,-1522.039062,65.090363
293,0,-0.043421,-0.001420,1.516473,-607.487671,-1522.008179,65.128853
294,0,-0.044041,-0.001014,1.516623,-607.506958,-1522.020630,65.103325
295,0,-0.044579,-0.001723,1.517044,-607.525391,-1522.044067,65.082382
296,0,-0.043843,-0.001288,1.516917,-607.509460,-1522.039307,65.090462
297,0,-0.043492,-0.001474,1.516806,-607.514954,-1522.048828,65.108856
298,0,-0.043418,-0.001422,1.516342,-607.502747,-1522.052368,65.098518
299,0,-0.043935,-0.001303,1.516697,-607.532227,-1522.063599,65.070618
300,0,-0.044220,-0.001723,1.516755,-607.500000,-1522.026123,65.113998
301,0,-0.043747,-0.001446,1.516436,-607.481445,-1521.996948,65.126183
302,0,-0.043808,-0.001839,1.516555,-607.500854,-1522.026611,65.121399
303,0,-0.044328,-0.001998,1.516355,-607.490723,-1522.017456,65.112564
304,0,-0.043489,-0.000931,1.516666,-607.496094,-1522.014526,65.116745
305,0,-0.043344,-0.001283,1.516534,-607.494324,-1522.021484,65.116470
306,0,-0.043412,-0.001189,1.516396,-607.495056,-1522.025757,65.103004
307,0,-0.043431,-0.001116,1.516571,-607.533203,-1522.055298,65.088837
308,0,-0.043327,-0.001452,1.516661,-607.538757,-1522.050415,65.081223
309,0,-0.042363,-0.000384,1.516375,-607.498779,-1522.020508,65.107872
310,0,-0.043078,-0.001338,1.516354,-607.522766,-1522.042603,65.087646
311,0,-0.042554,-0.001016,1.516222,-607.530762,-1522.047241,65.090813
312,0,-0.043014,-0.000937,1.516904,-607.519165,-1522.023926,65.106323
313,0,-0.043798,-0.001641,1.516385,-607.502380,-1522.021729,65.094452
314,0,-0.044241,-0.001894,1.516624,-607.488831,-1521.999146,65.126823
315,0,-0.043917,-0.001320,1.516767,-607.520813,-1522.040405,65.084732
316,0,-0.043220,-0.001023,1.516719,-607.506897,-1522.025269,65.111320
317,0,-0.044405,-0.002024,1.516437,-607.500427,-1522.043701,65.100533
318,0,-0.046050,-0.005549,1.516625,-607.460876,-1522.014771,65.110550
319,0,-0.044111,-0.002187,1.516575,-607.506836,-1522.034424,65.094742
320,0,-0.043255,-0.001377,1.516462,-607.510864,-1522.036865,65.105888
321,0,-0.042992,-0.001605,1.516341,-607.484924,-1522.018677,65.126389
322,0,-0.046210,-0.005913,1.516942,-607.492065,-1522.018433,65.096695
323,0,-0.043503,-0.000783,1.516834,-607.529541,-1522.042847,65.086418
324,0,-0.041534,0.000071,1.516018,-607.519348,-1522.042847,65.107361
325,0,-0.044355,-0.002056,1.516285,-607.484619,-1522.026367,65.117348
326,0,-0.043425,-0.001490,1.516452,-607.512207,-1522.021118,65.104126
327,0,-0.045164,-0.002808,1.516436,-607.478027,-1522.017822,65.117493
328,0,-0.043925,-0.001318,1.516771,-607.532654,-1522.038086,65.094238
329,0,-0.044451,-0.002121,1.516340,-607.507629,-1522.045776,65.096169
330,0,-0.043947,-0.001924,1.516454,-607.505493,-1522.031006,65.100189
331,0,-0.045023,-0.002292,1.516869,-607.555481,-1522.069458,65.064377
332,0,-0.044138,-0.002024,1.517125,-607.521912,-1522.041870,65.099457
333,0,-0.044317,-0.001455,1.516855,-607.519836,-1522.045898,65.083664
